Year,Metric,Dimension,Category,Status,Source, Mean , SD , p10 , p25 , p50 , p75 , p90 , N 
2019,GVA per worker,6. Region,South West,Exporter,ABS," 83,500 "," 157,500 "," 11,000 "," 23,500 "," 41,000 "," 71,000 "," 142,000 "," 23,850 "
2020,GVA per worker,6. Region,South West,Exporter,ABS," 51,000 "," 53,500 "," 2,000 "," 22,000 "," 41,500 "," 61,000 "," 101,500 "," 17,150 "
2021,GVA per worker,6. Region,South West,Exporter,ABS," 60,000 "," 46,000 "," 13,000 "," 36,000 "," 44,000 "," 86,000 "," 127,000 "," 20,900 "
2022,GVA per worker,6. Region,South West,Exporter,ABS," 58,500 "," 65,000 "," 11,500 "," 28,000 "," 48,500 "," 70,500 "," 121,000 "," 21,450 "
2011,GVA per worker,6. Region,South West,Non-Exporter,ABS," 43,000 "," 64,000 "," 1,500 "," 11,500 "," 28,500 "," 54,000 "," 95,000 "," 112,250 "
2012,GVA per worker,6. Region,South West,Non-Exporter,ABS," 46,000 "," 62,000 "," 3,500 "," 14,500 "," 32,000 "," 57,500 "," 100,500 "," 123,450 "
2013,GVA per worker,6. Region,South West,Non-Exporter,ABS," 44,000 "," 61,000 "," 4,000 "," 13,500 "," 30,500 "," 56,500 "," 97,000 "," 137,400 "
2014,GVA per worker,6. Region,South West,Non-Exporter,ABS," 45,500 "," 59,500 "," 4,500 "," 14,500 "," 32,000 "," 58,500 "," 100,000 "," 139,400 "
2015,GVA per worker,6. Region,South West,Non-Exporter,ABS," 44,500 "," 71,000 "," 3,500 "," 14,000 "," 29,500 "," 54,500 "," 95,000 "," 150,950 "
2016,GVA per worker,6. Region,South West,Non-Exporter,ABS," 43,500 "," 63,500 "," 2,500 "," 11,500 "," 26,500 "," 52,000 "," 107,000 "," 179,900 "
2017,GVA per worker,6. Region,South West,Non-Exporter,ABS," 42,500 "," 57,000 "," 5,000 "," 14,500 "," 30,500 "," 55,500 "," 87,000 "," 162,450 "
2018,GVA per worker,6. Region,South West,Non-Exporter,ABS," 43,500 "," 65,000 "," 5,500 "," 13,500 "," 27,000 "," 54,000 "," 95,500 "," 161,250 "
2019,GVA per worker,6. Region,South West,Non-Exporter,ABS," 40,000 "," 53,000 ", -   ," 9,000 "," 26,000 "," 47,500 "," 96,000 "," 204,550 "
2020,GVA per worker,6. Region,South West,Non-Exporter,ABS," 31,500 "," 40,000 ",-500 ," 6,000 "," 21,500 "," 47,500 "," 75,000 "," 178,900 "
2021,GVA per worker,6. Region,South West,Non-Exporter,ABS," 41,000 "," 94,500 "," 2,000 "," 9,500 "," 27,000 "," 49,000 "," 85,500 "," 184,300 "
2022,GVA per worker,6. Region,South West,Non-Exporter,ABS," 44,000 "," 81,500 "," 2,500 "," 12,000 "," 27,500 "," 59,500 "," 91,500 "," 182,800 "
2011,GVA per worker,6. Region,Wales,Exporter,ABS," 48,500 "," 51,000 ", [c] ," 16,500 "," 35,000 "," 63,500 ", [c] ," 4,000 "
2012,GVA per worker,6. Region,Wales,Exporter,ABS," 57,500 "," 67,500 ", [c] ," 14,500 "," 36,500 "," 76,500 ", [c] ," 3,400 "
2013,GVA per worker,6. Region,Wales,Exporter,ABS," 77,000 "," 70,500 ", [c] ," 25,500 "," 56,500 "," 98,500 ", [c] ," 3,950 "
2014,GVA per worker,6. Region,Wales,Exporter,ABS," 68,000 "," 70,500 ", [c] ," 24,000 "," 51,000 "," 95,500 ", [c] ," 4,200 "
2015,GVA per worker,6. Region,Wales,Exporter,ABS," 65,000 "," 69,000 ", [c] ," 27,500 "," 50,500 "," 82,500 ", [c] ," 5,400 "
2016,GVA per worker,6. Region,Wales,Exporter,ABS," 46,500 "," 43,500 "," 10,000 "," 18,000 "," 35,000 "," 70,000 "," 98,500 "," 3,950 "
2017,GVA per worker,6. Region,Wales,Exporter,ABS," 40,000 "," 41,500 ","-2,500 "," 14,000 "," 35,500 "," 52,500 "," 86,000 "," 4,850 "
2018,GVA per worker,6. Region,Wales,Exporter,ABS," 48,000 "," 47,500 "," 22,000 "," 28,500 "," 35,500 "," 51,500 "," 80,000 "," 3,750 "
2019,GVA per worker,6. Region,Wales,Exporter,ABS," 61,000 "," 48,000 "," 19,500 "," 36,000 "," 57,500 "," 66,500 "," 87,000 "," 3,650 "
2020,GVA per worker,6. Region,Wales,Exporter,ABS," 42,500 "," 42,500 "," 14,500 "," 29,000 "," 31,000 "," 51,500 "," 55,000 "," 8,700 "
2021,GVA per worker,6. Region,Wales,Exporter,ABS," 38,500 "," 35,500 "," 8,500 "," 21,500 "," 30,500 "," 43,000 "," 75,000 "," 7,600 "
2022,GVA per worker,6. Region,Wales,Exporter,ABS," 40,500 "," 41,500 "," 5,000 "," 16,000 "," 22,000 "," 66,000 "," 84,500 "," 9,700 "
2011,GVA per worker,6. Region,Wales,Non-Exporter,ABS," 43,500 "," 60,500 "," 2,000 "," 13,000 "," 28,000 "," 55,500 "," 99,500 "," 38,250 "
2012,GVA per worker,6. Region,Wales,Non-Exporter,ABS," 39,000 "," 55,500 "," 2,000 "," 11,000 "," 25,000 "," 48,500 "," 90,000 "," 44,650 "
2013,GVA per worker,6. Region,Wales,Non-Exporter,ABS," 40,500 "," 59,000 "," 2,500 "," 11,000 "," 26,000 "," 51,500 "," 88,500 "," 48,700 "
2014,GVA per worker,6. Region,Wales,Non-Exporter,ABS," 41,500 "," 65,500 "," 3,500 "," 12,000 "," 27,500 "," 55,000 "," 90,500 "," 56,950 "
2015,GVA per worker,6. Region,Wales,Non-Exporter,ABS," 47,000 "," 135,500 "," 5,000 "," 14,000 "," 28,500 "," 58,000 "," 93,000 "," 60,400 "
2016,GVA per worker,6. Region,Wales,Non-Exporter,ABS," 34,500 "," 38,500 "," 3,000 "," 9,500 "," 23,000 "," 51,000 "," 80,500 "," 67,150 "
2017,GVA per worker,6. Region,Wales,Non-Exporter,ABS," 35,000 "," 72,000 "," 2,500 "," 9,000 "," 22,500 "," 44,000 "," 86,500 "," 51,050 "
2018,GVA per worker,6. Region,Wales,Non-Exporter,ABS," 47,000 "," 61,000 "," 5,000 "," 11,500 "," 22,500 "," 56,000 "," 122,500 "," 60,900 "
2019,GVA per worker,6. Region,Wales,Non-Exporter,ABS," 41,500 "," 68,500 ", -   ," 9,500 "," 25,500 "," 50,000 "," 104,000 "," 42,600 "
2020,GVA per worker,6. Region,Wales,Non-Exporter,ABS," 35,500 "," 54,500 "," 1,000 "," 8,000 "," 20,000 "," 37,500 "," 122,500 "," 43,750 "
2021,GVA per worker,6. Region,Wales,Non-Exporter,ABS," 36,500 "," 54,000 "," 1,000 "," 8,500 "," 26,000 "," 42,000 "," 86,500 "," 74,050 "
2022,GVA per worker,6. Region,Wales,Non-Exporter,ABS," 37,500 "," 59,000 "," 1,000 "," 10,000 "," 24,500 "," 57,000 "," 88,000 "," 64,200 "
2011,GVA per worker,6. Region,West Midlands,Exporter,ABS," 67,000 "," 66,500 "," 15,000 "," 28,500 "," 52,500 "," 86,000 "," 134,500 "," 16,050 "
2012,GVA per worker,6. Region,West Midlands,Exporter,ABS," 63,000 "," 58,500 "," 5,000 "," 28,000 "," 50,000 "," 82,500 "," 130,000 "," 15,700 "
2013,GVA per worker,6. Region,West Midlands,Exporter,ABS," 67,500 "," 94,000 "," 4,500 "," 22,500 "," 43,500 "," 86,500 "," 132,000 "," 17,250 "
2014,GVA per worker,6. Region,West Midlands,Exporter,ABS," 71,000 "," 71,500 "," 17,500 "," 33,500 "," 53,000 "," 83,000 "," 130,500 "," 14,550 "
2015,GVA per worker,6. Region,West Midlands,Exporter,ABS," 68,000 "," 98,000 "," 7,500 "," 20,500 "," 49,500 "," 90,000 "," 125,500 "," 15,850 "
2016,GVA per worker,6. Region,West Midlands,Exporter,ABS," 76,500 "," 79,500 "," 6,500 "," 25,000 "," 49,000 "," 101,000 "," 177,500 "," 15,350 "
2017,GVA per worker,6. Region,West Midlands,Exporter,ABS," 86,000 "," 133,500 "," 13,000 "," 26,000 "," 52,500 "," 87,500 "," 185,500 "," 13,200 "
2018,GVA per worker,6. Region,West Midlands,Exporter,ABS," 59,500 "," 72,500 "," 10,500 "," 25,000 "," 43,000 "," 69,000 "," 120,500 "," 12,500 "
2019,GVA per worker,6. Region,West Midlands,Exporter,ABS," 106,000 "," 568,500 "," 10,500 "," 26,000 "," 26,000 "," 69,000 "," 101,500 "," 21,100 "
2020,GVA per worker,6. Region,West Midlands,Exporter,ABS," 46,000 "," 44,000 "," 3,000 "," 20,000 "," 31,500 "," 67,000 "," 95,500 "," 20,800 "
2021,GVA per worker,6. Region,West Midlands,Exporter,ABS," 54,500 "," 61,500 "," 13,500 "," 26,500 "," 35,000 "," 60,000 "," 107,000 "," 16,300 "
2022,GVA per worker,6. Region,West Midlands,Exporter,ABS," 60,500 "," 58,000 "," 23,000 "," 27,500 "," 42,000 "," 82,000 "," 132,000 "," 15,400 "
2011,GVA per worker,6. Region,West Midlands,Non-Exporter,ABS," 42,500 "," 63,000 "," 3,500 "," 14,000 "," 29,500 "," 53,000 "," 92,000 "," 97,700 "
2012,GVA per worker,6. Region,West Midlands,Non-Exporter,ABS," 43,500 "," 58,000 "," 4,000 "," 13,500 "," 28,500 "," 56,000 "," 93,000 "," 102,850 "
2013,GVA per worker,6. Region,West Midlands,Non-Exporter,ABS," 47,500 "," 66,000 "," 3,500 "," 14,000 "," 30,000 "," 59,500 "," 100,500 "," 124,400 "
2014,GVA per worker,6. Region,West Midlands,Non-Exporter,ABS," 49,500 "," 81,500 "," 3,500 "," 14,000 "," 31,500 "," 61,500 "," 106,000 "," 125,000 "
2015,GVA per worker,6. Region,West Midlands,Non-Exporter,ABS," 49,500 "," 68,000 "," 5,000 "," 15,000 "," 32,000 "," 61,500 "," 102,000 "," 135,200 "
2016,GVA per worker,6. Region,West Midlands,Non-Exporter,ABS," 36,000 "," 35,500 "," 4,000 "," 12,000 "," 28,500 "," 49,000 "," 79,500 "," 132,350 "
2017,GVA per worker,6. Region,West Midlands,Non-Exporter,ABS," 41,500 "," 48,000 "," 4,500 "," 11,000 "," 27,000 "," 56,500 "," 96,500 "," 129,200 "
2018,GVA per worker,6. Region,West Midlands,Non-Exporter,ABS," 36,000 "," 43,000 "," 5,500 "," 12,500 "," 26,000 "," 46,000 "," 80,500 "," 138,150 "
2019,GVA per worker,6. Region,West Midlands,Non-Exporter,ABS," 51,000 "," 107,000 "," 4,000 "," 12,000 "," 31,000 "," 59,500 "," 91,500 "," 150,550 "
2020,GVA per worker,6. Region,West Midlands,Non-Exporter,ABS," 33,500 "," 185,000 "," 1,000 "," 8,500 "," 19,000 "," 39,500 "," 78,500 "," 154,400 "
2021,GVA per worker,6. Region,West Midlands,Non-Exporter,ABS," 40,000 "," 110,000 "," 1,500 "," 11,500 "," 26,500 "," 53,500 "," 95,000 "," 157,900 "
2022,GVA per worker,6. Region,West Midlands,Non-Exporter,ABS," 39,500 "," 55,000 "," 1,000 "," 9,500 "," 28,500 "," 51,500 "," 83,000 "," 152,100 "
2011,GVA per worker,6. Region,Yorkshire and The Humber,Exporter,ABS," 71,000 "," 89,500 "," 6,500 "," 25,000 "," 48,500 "," 87,500 "," 143,000 "," 10,900 "
2012,GVA per worker,6. Region,Yorkshire and The Humber,Exporter,ABS," 57,500 "," 59,000 "," 2,000 "," 19,500 "," 45,000 "," 79,000 "," 128,500 "," 10,550 "
2013,GVA per worker,6. Region,Yorkshire and The Humber,Exporter,ABS," 66,000 "," 70,500 "," 7,500 "," 24,000 "," 48,500 "," 89,500 "," 141,500 "," 11,750 "
2014,GVA per worker,6. Region,Yorkshire and The Humber,Exporter,ABS," 60,000 "," 61,000 "," 5,000 "," 22,500 "," 49,000 "," 76,000 "," 118,500 "," 12,700 "
2015,GVA per worker,6. Region,Yorkshire and The Humber,Exporter,ABS," 65,500 "," 77,500 "," 10,500 "," 26,000 "," 45,000 "," 79,000 "," 139,500 "," 12,250 "
2016,GVA per worker,6. Region,Yorkshire and The Humber,Exporter,ABS," 78,500 "," 76,000 "," 11,500 "," 36,500 "," 58,000 "," 96,500 "," 155,500 "," 10,850 "
2017,GVA per worker,6. Region,Yorkshire and The Humber,Exporter,ABS," 66,000 "," 73,500 "," 12,000 "," 29,500 "," 43,500 "," 76,500 "," 122,000 "," 11,900 "
2018,GVA per worker,6. Region,Yorkshire and The Humber,Exporter,ABS," 57,000 "," 69,000 "," 2,000 "," 24,000 "," 40,500 "," 68,000 "," 129,000 "," 12,600 "
2019,GVA per worker,6. Region,Yorkshire and The Humber,Exporter,ABS," 73,500 "," 68,500 "," 7,500 "," 26,000 "," 56,500 "," 90,000 "," 179,500 "," 7,450 "
2020,GVA per worker,6. Region,Yorkshire and The Humber,Exporter,ABS," 59,000 "," 75,000 "," 3,000 "," 20,500 "," 50,500 "," 71,000 "," 125,000 "," 13,250 "
2021,GVA per worker,6. Region,Yorkshire and The Humber,Exporter,ABS," 48,500 "," 56,500 "," 3,000 "," 12,500 "," 35,500 "," 69,000 "," 111,500 "," 12,150 "
2022,GVA per worker,6. Region,Yorkshire and The Humber,Exporter,ABS," 71,500 "," 82,000 "," 17,000 "," 25,000 "," 37,000 "," 94,500 "," 168,000 "," 16,500 "
2011,GVA per worker,6. Region,Yorkshire and The Humber,Non-Exporter,ABS," 44,000 "," 63,500 "," 2,000 "," 12,500 "," 27,500 "," 55,500 "," 102,500 "," 80,850 "
2012,GVA per worker,6. Region,Yorkshire and The Humber,Non-Exporter,ABS," 40,000 "," 47,500 "," 3,500 "," 12,500 "," 27,000 "," 53,000 "," 91,000 "," 91,250 "
2013,GVA per worker,6. Region,Yorkshire and The Humber,Non-Exporter,ABS," 44,000 "," 72,500 "," 4,000 "," 13,500 "," 29,500 "," 54,500 "," 89,500 "," 106,650 "
2014,GVA per worker,6. Region,Yorkshire and The Humber,Non-Exporter,ABS," 45,000 "," 65,500 "," 3,500 "," 12,500 "," 28,000 "," 55,500 "," 100,500 "," 115,100 "
2015,GVA per worker,6. Region,Yorkshire and The Humber,Non-Exporter,ABS," 46,500 "," 76,000 "," 3,500 "," 13,500 "," 31,000 "," 57,500 "," 99,500 "," 121,800 "
2016,GVA per worker,6. Region,Yorkshire and The Humber,Non-Exporter,ABS," 39,000 "," 46,000 "," 2,500 "," 10,000 "," 26,500 "," 54,000 "," 91,000 "," 134,100 "
2017,GVA per worker,6. Region,Yorkshire and The Humber,Non-Exporter,ABS," 39,500 "," 50,000 "," 7,000 "," 14,000 "," 26,000 "," 51,500 "," 78,000 "," 142,050 "
2018,GVA per worker,6. Region,Yorkshire and The Humber,Non-Exporter,ABS," 41,000 "," 52,000 "," 4,500 "," 10,500 "," 24,000 "," 51,500 "," 94,000 "," 135,900 "
2019,GVA per worker,6. Region,Yorkshire and The Humber,Non-Exporter,ABS," 39,500 "," 62,000 "," 3,500 "," 9,000 "," 21,000 "," 52,000 "," 102,500 "," 128,200 "
2020,GVA per worker,6. Region,Yorkshire and The Humber,Non-Exporter,ABS," 30,500 "," 41,500 ", 500 ," 7,500 "," 24,000 "," 39,500 "," 70,500 "," 129,650 "
2021,GVA per worker,6. Region,Yorkshire and The Humber,Non-Exporter,ABS," 39,500 "," 91,500 "," 2,000 "," 10,500 "," 26,500 "," 49,000 "," 82,500 "," 144,250 "
2022,GVA per worker,6. Region,Yorkshire and The Humber,Non-Exporter,ABS," 44,500 "," 64,500 "," 5,000 "," 13,500 "," 26,500 "," 51,500 "," 92,500 "," 135,350 "
2005,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 57,500 "," 58,500 "," 2,500 "," 18,000 "," 45,000 "," 79,000 "," 127,000 "," 8,500 "
2006,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 70,500 "," 83,000 "," 16,500 "," 28,000 "," 49,500 "," 87,000 "," 150,000 "," 8,000 "
2007,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 79,500 "," 105,500 "," 9,000 "," 32,000 "," 59,500 "," 91,500 "," 143,000 "," 8,700 "
2008,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 72,000 "," 80,500 "," 6,500 "," 22,000 "," 49,500 "," 88,000 "," 171,000 "," 11,500 "
2009,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 66,000 "," 65,500 "," 11,500 "," 25,500 "," 52,500 "," 88,500 "," 146,000 "," 9,900 "
2010,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 73,000 "," 90,000 "," 6,000 "," 24,000 "," 50,000 "," 86,500 "," 160,000 "," 10,050 "
2011,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 68,000 "," 67,500 "," 8,000 "," 29,000 "," 52,500 "," 83,000 "," 138,000 "," 10,300 "
2012,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 73,000 "," 78,000 "," 9,500 "," 28,000 "," 52,500 "," 83,000 "," 173,500 "," 10,600 "
2013,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 76,500 "," 87,000 "," 15,000 "," 29,500 "," 52,000 "," 90,000 "," 166,500 "," 11,850 "
2014,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 71,500 "," 76,000 "," 11,000 "," 27,500 "," 51,500 "," 97,000 "," 169,500 "," 11,300 "
2015,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 77,500 "," 79,000 "," 10,000 "," 29,500 "," 58,000 "," 97,000 "," 164,500 "," 13,000 "
2016,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 67,000 "," 178,000 "," 5,500 "," 16,500 "," 42,500 "," 66,500 "," 105,500 "," 10,850 "
2017,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 74,000 "," 128,000 "," 18,500 "," 35,500 "," 47,500 "," 78,000 "," 164,000 "," 8,450 "
2018,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 83,500 "," 80,000 "," 20,500 "," 36,000 "," 69,500 "," 113,000 "," 141,000 "," 12,550 "
2019,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 56,500 "," 71,000 ","-9,000 "," 21,000 "," 50,000 "," 83,000 "," 118,500 "," 13,950 "
2020,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 57,000 "," 65,500 "," 4,000 "," 17,500 "," 47,000 "," 72,000 "," 112,500 "," 8,200 "
2021,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 66,500 "," 73,500 "," 10,000 "," 23,000 "," 48,000 "," 79,000 "," 151,000 "," 8,250 "
2022,GVA per worker,6. Region,East Midlands,Exporter,ABS-TiG," 73,000 "," 70,500 "," 13,000 "," 28,000 "," 53,000 "," 89,500 "," 188,000 "," 17,100 "
2005,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 50,000 "," 75,000 "," 4,000 "," 15,000 "," 33,000 "," 62,500 "," 100,500 "," 104,000 "
2006,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 49,000 "," 63,500 "," 4,500 "," 15,500 "," 32,000 "," 62,000 "," 103,500 "," 101,000 "
2007,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 49,500 "," 60,000 "," 3,000 "," 15,000 "," 36,500 "," 65,000 "," 114,500 "," 100,050 "
2008,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 42,000 "," 52,500 "," 1,500 "," 11,500 "," 29,500 "," 55,000 "," 92,500 "," 115,650 "
2009,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 41,500 "," 59,500 "," 2,000 "," 11,500 "," 28,000 "," 54,500 "," 88,500 "," 103,100 "
2010,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 41,500 "," 62,000 "," 3,000 "," 11,500 "," 27,000 "," 52,000 "," 86,500 "," 110,500 "
2011,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 43,000 "," 62,000 "," 2,500 "," 12,000 "," 29,500 "," 55,500 "," 95,000 "," 105,100 "
2012,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 44,500 "," 63,000 "," 3,500 "," 13,000 "," 29,500 "," 55,500 "," 97,000 "," 108,700 "
2013,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 46,500 "," 69,000 "," 4,500 "," 14,000 "," 31,500 "," 58,000 "," 101,500 "," 114,400 "
2014,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 48,000 "," 74,000 "," 5,000 "," 13,500 "," 29,500 "," 57,500 "," 106,500 "," 117,400 "
2015,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 43,000 "," 54,500 "," 5,000 "," 13,500 "," 27,500 "," 54,500 "," 97,000 "," 131,550 "
2016,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 36,000 "," 39,000 "," 2,000 "," 12,500 "," 28,500 "," 47,500 "," 79,000 "," 125,700 "
2017,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 42,000 "," 43,500 "," 4,500 "," 14,500 "," 29,500 "," 61,000 "," 98,000 "," 131,050 "
2018,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 46,500 "," 68,500 "," 3,000 "," 12,000 "," 27,000 "," 59,000 "," 103,500 "," 131,850 "
2019,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 36,000 "," 42,500 "," 2,500 "," 10,000 "," 26,500 "," 48,500 "," 82,500 "," 144,300 "
2020,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 36,000 "," 57,500 ",-500 ," 9,500 "," 25,500 "," 39,000 "," 78,500 "," 157,000 "
2021,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 39,000 "," 52,000 "," 2,000 "," 9,500 "," 22,500 "," 53,000 "," 93,000 "," 137,800 "
2022,GVA per worker,6. Region,East Midlands,Non-Exporter,ABS-TiG," 42,500 "," 54,000 "," 1,500 "," 12,000 "," 29,000 "," 55,500 "," 92,000 "," 145,250 "
2005,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 75,000 "," 95,500 "," 10,500 "," 28,000 "," 55,000 "," 91,500 "," 156,000 "," 14,950 "
2006,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 80,000 "," 94,000 "," 5,500 "," 26,500 "," 56,000 "," 98,000 "," 173,500 "," 14,200 "
2007,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 71,000 "," 69,000 "," 6,000 "," 27,000 "," 57,500 "," 98,500 "," 157,500 "," 15,400 "
2008,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 85,000 "," 106,500 "," 14,000 "," 35,000 "," 56,000 "," 94,000 "," 181,000 "," 15,250 "
2009,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 69,500 "," 85,500 "," 9,000 "," 28,000 "," 47,000 "," 86,000 "," 148,500 "," 15,650 "
2010,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 74,000 "," 86,500 "," 10,500 "," 25,000 "," 51,500 "," 95,500 "," 157,500 "," 17,550 "
2011,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 67,500 "," 75,000 "," 8,500 "," 24,500 "," 53,000 "," 87,000 "," 139,500 "," 18,050 "
2012,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 71,000 "," 90,000 "," 9,000 "," 25,000 "," 50,000 "," 90,000 "," 158,500 "," 19,300 "
2013,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 76,000 "," 116,000 "," 10,000 "," 32,000 "," 54,000 "," 92,000 "," 152,500 "," 18,100 "
2014,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 92,000 "," 180,500 "," 14,000 "," 31,500 "," 59,000 "," 104,500 "," 178,000 "," 19,250 "
2015,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 72,000 "," 75,000 "," 10,500 "," 23,500 "," 55,500 "," 94,500 "," 157,500 "," 19,350 "
2016,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 69,500 "," 76,000 "," 12,500 "," 28,000 "," 46,500 "," 87,500 "," 144,000 "," 19,650 "
2017,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 94,000 "," 161,500 "," 3,000 "," 29,500 "," 51,500 "," 93,500 "," 279,000 "," 17,150 "
2018,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 57,000 "," 70,500 "," 11,000 "," 21,000 "," 38,500 "," 66,500 "," 129,500 "," 20,400 "
2019,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 70,000 "," 78,000 "," 18,000 "," 28,000 "," 52,000 "," 89,000 "," 148,500 "," 27,350 "
2020,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 60,500 "," 54,000 "," 10,500 "," 28,000 "," 51,500 "," 71,500 "," 105,000 "," 20,900 "
2021,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 78,500 "," 107,500 "," 1,000 "," 22,000 "," 41,000 "," 79,000 "," 199,500 "," 26,300 "
2022,GVA per worker,6. Region,Eastern,Exporter,ABS-TiG," 62,000 "," 89,500 "," 6,000 "," 18,000 "," 45,500 "," 91,500 "," 135,000 "," 19,200 "
2005,GVA per worker,6. Region,Eastern,Non-Exporter,ABS-TiG," 54,500 "," 80,500 "," 3,500 "," 15,000 "," 34,500 "," 68,000 "," 117,500 "," 160,200 "
2006,GVA per worker,6. Region,Eastern,Non-Exporter,ABS-TiG," 54,500 "," 334,000 "," 5,000 "," 18,000 "," 37,000 "," 68,000 "," 111,500 "," 154,150 "
2007,GVA per worker,6. Region,Eastern,Non-Exporter,ABS-TiG," 58,000 "," 82,000 "," 3,500 "," 15,500 "," 39,500 "," 72,500 "," 126,500 "," 154,650 "
2008,GVA per worker,6. Region,Eastern,Non-Exporter,ABS-TiG," 50,500 "," 72,000 "," 3,000 "," 14,000 "," 34,000 "," 68,000 "," 110,500 "," 161,000 "
2009,GVA per worker,6. Region,Eastern,Non-Exporter,ABS-TiG," 44,000 "," 58,500 "," 1,500 "," 12,500 "," 30,000 "," 57,000 "," 97,500 "," 160,450 "
2010,GVA per worker,6. Region,Eastern,Non-Exporter,ABS-TiG," 48,500 "," 66,500 "," 2,500 "," 13,500 "," 31,500 "," 60,500 "," 111,000 "," 160,650 "
2011,GVA per worker,6. Region,Eastern,Non-Exporter,ABS-TiG," 46,000 "," 61,500 "," 2,500 "," 14,000 "," 32,000 "," 59,500 "," 100,500 "," 171,250 "
2012,GVA per worker,6. Region,Eastern,Non-Exporter,ABS-TiG," 50,000 "," 77,500 "," 3,000 "," 12,500 "," 31,500 "," 59,000 "," 104,500 "," 163,350 "
2013,GVA per worker,6. Region,Eastern,Non-Exporter,ABS-TiG," 51,500 "," 82,500 "," 3,500 "," 14,500 "," 35,000 "," 63,500 "," 111,000 "," 172,850 "
2014,GVA per worker,6. Region,Eastern,Non-Exporter,ABS-TiG," 51,500 "," 73,000 "," 4,500 "," 14,500 "," 35,000 "," 66,000 "," 109,500 "," 181,150 "
2015,GVA per worker,6. Region,Eastern,Non-Exporter,ABS-TiG," 52,000 "," 78,000 "," 5,000 "," 15,000 "," 34,000 "," 65,000 "," 111,000 "," 187,500 "
2016,GVA per worker,6. Region,Eastern,Non-Exporter,ABS-TiG," 43,000 "," 50,000 "," 4,000 "," 15,500 "," 33,000 "," 60,000 "," 92,500 "," 190,450 "
2017,GVA per worker,6. Region,Eastern,Non-Exporter,ABS-TiG," 52,000 "," 72,500 "," 7,000 "," 17,500 "," 37,000 "," 67,000 "," 106,500 "," 188,800 "
2018,GVA per worker,6. Region,Eastern,Non-Exporter,ABS-TiG," 45,000 "," 62,000 "," 4,500 "," 14,500 "," 31,500 "," 59,000 "," 98,500 "," 187,750 "
